id,nombre,sueldo
8904,Etienne,$29080.53
19793,Deerdre,$28970.14
3787,Joanna,$11973.34
17516,Bernarr,$17908.33
8898,Burke,$7015.85
11850,Ulrike,$21661.51
8391,Essy,$2840.62
9789,Suzie,$31546.10
1156,Sallyann,$19218.07
1349,Zebulen,$17845.10
1051,Val,$15987.30
13759,Alister,$7985.35
2210,Ashlie,$28256.06
9284,Michelina,$10435.40
5047,Corri,$24044.90
4637,Cloris,$25768.15
4169,Marris,$16998.14
4869,Xaviera,$10295.82
17251,Sherry,$12653.28
11252,Milka,$1693.31
12998,Harmonie,$32595.26
16482,Cathi,$5630.40
17859,Redford,$19064.51
15798,Belva,$2427.83
10748,Alan,$31027.31
2228,Allys,$22758.66
11994,Thekla,$33920.06
2719,Andriana,$34309.19
7836,Ad,$1661.45
3235,Ariella,$9765.26
17003,Consolata,$18180.58
4277,Skipper,$27742.22
2085,Silva,$16346.29
14089,Atlante,$8207.37
10872,Shannon,$30681.92
16155,Trent,$12835.27
4749,Nilson,$22019.38
18587,Cammy,$11693.96
6862,Meggi,$32419.63
6143,Asher,$13262.95
4076,Tomlin,$32453.35
17917,Lu,$27634.86
10832,Belinda,$4865.80
15411,Sylas,$11560.03
1706,Loutitia,$12011.34
11474,Valentino,$14369.66
3747,Heindrick,$33933.77
12205,Anitra,$26666.67
17163,Dorette,$17986.05
11518,Port,$27299.80
18622,Minerva,$26729.73
6866,Tani,$18721.28
17249,Brear,$34575.38
12860,Gasper,$11102.99
15720,Caro,$32834.56
15406,Reiko,$32985.25
10803,Caty,$28987.94
14554,Gayla,$32708.89
15386,Manny,$22543.94
15648,Consuela,$24811.07
13609,Lynnette,$25642.11
2816,Huberto,$33719.63
10473,Ulick,$12084.07
9645,Corissa,$25191.33
16365,Noreen,$16632.32
9796,Danita,$34545.37
9240,Corina,$7192.96
19701,Haven,$24323.76
11746,Adriane,$17207.15
12998,Woodman,$13071.96
7877,Araldo,$34510.73
6862,Barbra,$6758.09
9698,Sasha,$7935.89
3381,Michell,$31134.57
9548,Abbott,$11173.76
16559,Jamey,$29127.95
10766,Ashlin,$14459.73
11627,Adele,$32066.73
5716,Homerus,$1757.89
17397,Liv,$7866.74
15339,Web,$26166.96
7516,Tori,$28915.41
10343,Chic,$30486.94
1395,Gabi,$30591.69
15245,Stinky,$13762.52
13630,Rosamund,$1961.53
4600,Virge,$7159.12
10478,Cathrin,$14953.78
6927,Domenico,$9638.68
8229,Dalila,$15939.01
13792,Deloria,$14486.24
16132,Ulrike,$22118.43
19532,Kessia,$22414.60
10369,Tybie,$24611.33
7404,Noemi,$33409.68
10882,Winona,$33139.57
9678,Minnaminnie,$21518.27
10287,Jesse,$32461.51
18406,Virgie,$22901.43
12746,Tory,$3059.46
